collab_id,influencer_name,handle,platform,date,brief,status_collab,followers,price_ex_vat,ig_post,ig_story,boosted,comments,country_code
,Allan Tween,atween0,youtube,2022-03-13,55,done,814153,147700,FALSE,FALSE,TRUE,Ciconia ciconia,NO
,Raphaela Sweet,rsweet1,youtube,2022-03-01,98765,planning,219604,241442,TRUE,FALSE,TRUE,Manouria emys,DE
,Elwira Perceval,eperceval2,blog,2020-12-13,67,done,612022,295369,FALSE,FALSE,TRUE,Macropus eugenii,NO
,Virgilio Mace,vmace3,instagram,2021-04-19,66,done,514015,80988,TRUE,FALSE,TRUE,Semnopithecus entellus,DE
,Rosabelle Goodfellow,rgoodfellow4,instagram,2022-03-19,55,booked,812903,69367,FALSE,FALSE,TRUE,Macropus rufogriseus,FI
,Bridgette Wardlow,bwardlow5,other,2021-05-12,77,done,471882,151631,TRUE,TRUE,FALSE,Sauromalus obesus,DE
,Rollins Lightbourn,rlightbourn6,instagram,2020-11-05,1,done,314673,193308,TRUE,FALSE,FALSE,Dusicyon thous,SE
,Guillemette Coghlan,gcoghlan7,youtube,2021-11-23,2,done,167466,66146,TRUE,TRUE,FALSE,Dasypus septemcincus,DE
,Crawford Cullity,ccullity8,twitch,2022-04-20,123,done,187014,239142,TRUE,TRUE,TRUE,Meles meles,DE
,Lyndy Foynes,lfoynes9,instagram,2022-07-14,67,done,779132,257995,TRUE,FALSE,FALSE,Speotyte cuniculata,FI
,Krishnah Farlham,kfarlhama,youtube,2020-09-30,98765,done,783670,44594,FALSE,TRUE,TRUE,Gazella granti,SE
,Sayre Triggel,striggelb,twitch,2022-10-09,77,done,23080,232332,FALSE,TRUE,FALSE,Hystrix indica,SE
,Tomasine Jayme,tjaymec,instagram,2021-10-24,1,done,533101,22106,FALSE,FALSE,FALSE,Cygnus buccinator,FI
,Pammy Davinet,pdavinetd,instagram,2021-01-02,66,done,937916,219543,TRUE,FALSE,FALSE,Limosa haemastica,FI
,Margret Ales,malese,tiktok,2021-09-11,456,done,509032,213184,TRUE,FALSE,FALSE,Kobus vardonii vardoni,DE
,Kendra Erett,kerettf,other,2020-11-21,55,done,839370,235306,TRUE,TRUE,FALSE,Chionis alba,SE
,Dugald Saph,dsaphg,instagram,2020-12-14,2345,cancelled,442590,25529,TRUE,TRUE,FALSE,Myotis lucifugus,FI
